PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2022/06/17,990706,BSS 1330 ST JOHN'S ORIGINATING,359,236,5
2023/03/13,800214,ST JOHN'S / ILC 1240,921,879,38
2022/09/05,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,17,8,1
2021/11/15,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,3,2,0
2021/12/21,800509,TORONTO GW BMF / LPS 1021,10,4,2
2022/09/05,800509,TORONTO GW BMF / LPS 1021,679,572,48
2022/09/21,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1837,1036,135
2022/05/24,800509,TORONTO GW BMF / LPS 1021,17583,16201,1076
2022/12/28,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1185,1128,37
2023/02/21,800214,ST JOHN'S / ILC 1240,386,383,2
2023/03/13,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,317,290,11
2023/02/09,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1109,724,68
2023/01/18,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1421,923,116
2023/01/20,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1304,850,62
2022/04/29,800509,TORONTO GW BMF / LPS 1021,2384,2210,133
2022/04/11,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,2,0,2
2022/08/30,862380,TORONTO GW BMF / EUS SS 1023,30805,22118,7311
2022/10/24,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,974,904,25
2023/03/01,990715,ST. JOHN'S / ILS OH4011,3,0,0
2022/10/07,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1004,814,40
2023/03/01,990706,BSS 1330 ST JOHN'S ORIGINATING,700,548,12
2022/12/12,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,347,327,12
2022/01/28,800509,TORONTO GW BMF / LPS 1021,3,1,0
2022/08/10,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1479,852,134
2023/04/26,862380,TORONTO GW BMF / EUS SS 1023,29827,21990,6276
2023/03/15,800509,TORONTO GW BMF / LPS 1021,24131,18460,4369
2022/06/07,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1870,1295,309
2023/04/21,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1618,1013,157
2021/11/08,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,5,2,0
2021/11/03,800509,TORONTO GW BMF / LPS 1021,5,4,0
2022/08/29,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1030,878,25
2022/06/02,990706,BSS 1330 ST JOHN'S ORIGINATING,689,351,54
2021/06/21,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,0,0
